AoA_deg,AoS_deg,RunSuccessful,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CFx_B,CFy_B,CFz_B,CMx_B,CMy_B,CMz_B,Mx_Nm,My_Nm,Mz_Nm,MomentMagnitude_Nm,ForceCoefficientMagnitude,PitchWithinBaffleLimit
-90,0,1,0.00015407609581726,0.78468107607858,0.843762977802813,1.98483952343711,2.134286346149,0.000258036492700972,-2.11141805379223e-09,2.12901305176612e-15,1.98483952343711,-3.5052585421128e-14,0.011913171849084,2.39169871325003e-14,-4.55538062065492e-18,1.54821767124596e-06,3.10821522517921e-18,1.54821767124596e-06,1.98483952343711,0
-75,0,1,0.00015407609581726,0.759731918265894,0.843762977802813,1.91654299886939,2.1285245346862,0.000249157691440201,-0.468145226810765,3.38862263733896e-06,1.85871217999676,-5.41019539291702e-07,0.0102341980309595,-1.96007916323878e-07,-7.03100754216995e-11,1.33002079070827e-06,-2.54728903100697e-11,1.33002079281063e-06,1.91676052793913,0
-60,0,1,0.00015407609581726,0.683650916133158,0.843762977802813,1.71548451185997,2.11725353677379,0.000223019343123842,-0.814001405526609,-3.56515895692431e-06,1.51090695882445,-1.30172856322993e-06,0.00758338302203168,-5.50347397744451e-07,-1.69170661708633e-10,9.85524909005556e-07,-7.15223097010646e-11,9.85524926120371e-07,1.71622787718768,0
-45,0,1,0.00015407609581726,0.564712699566389,0.843762977802813,1.40565837358363,2.10025823038702,0.000182740797113497,-0.951851305711348,-1.08704455043411e-08,1.03604983027392,6.23015118981141e-08,0.00439921127430893,8.21818378292409e-08,8.09660960891934e-12,5.71714797764228e-07,1.06802264916949e-11,5.71714797921319e-07,1.40691867533096,0
-30,0,1,0.00015407609581726,0.409436270811652,0.843762977802813,1.00953888444942,2.08044962323972,0.000131243795738953,-0.847492547588366,-1.55516211074903e-07,0.55117761743981,3.03802802057698e-07,0.00105487399750573,6.17571905047546e-07,3.94817495019962e-11,1.37089818275542e-07,8.02587042957129e-11,1.37089847454468e-07,1.01096012986886,1
-20,0,1,0.00015407609581726,0.294092467608065,0.843762977802813,0.721741225678599,2.07070426092384,9.38290336889834e-05,-0.663792802699452,-1.52287622158793e-05,0.286474434804946,-2.91154014496963e-06,-0.000488215709326229,-3.91365545101354e-06,-3.78379323331142e-10,-6.34477700929722e-08,-5.08612702409153e-10,6.34509368533202e-08,0.722971982129544,1
-10,0,1,0.00015407609581726,0.177670529218304,0.843762977802813,0.439611700626989,2.08772990788037,5.71511500252993e-05,-0.428636210767325,-1.33930062248679e-08,0.100706136260724,-8.04142409258474e-07,-0.00166424276891683,-2.85833121715951e-06,-1.04505122899574e-10,-2.16282455816204e-07,-3.71464372103438e-10,2.16282800058138e-07,0.440307536912025,1
0,0,1,0.00015407609581726,0.09812405169075,0.843762977802813,0.297566787400701,2.55875938983572,3.86847849705294e-05,-0.297566787400701,-4.16658706398641e-05,-0.000225749070484485,-3.23282994154757e-06,0.00113752152590754,-2.61143681390394e-05,-4.20133656010498e-10,1.4783056520486e-07,-3.39378351445439e-09,1.47870112895136e-07,0.297566875950032,1
10,0,1,0.00015407609581726,0.177898860774193,0.843762977802813,0.43966509009262,2.0853035485335,5.71580908536615e-05,-0.428459080884173,1.10955227431853e-14,-0.102018147425543,4.76476930314024e-14,0.00135663962091854,-1.8788214027438e-13,6.19222162492287e-18,1.76306819143216e-07,-2.44168768292109e-17,1.76306819143216e-07,0.440437153741882,1
20,0,1,0.00015407609581726,0.291516223869778,0.843762977802813,0.714966848953071,2.06939617114558,9.29483396127877e-05,-0.657070669267772,-4.44330515903469e-15,-0.285136392140589,7.60916991207969e-14,0.00102187101674507,-1.8327019866868e-13,9.88876133966008e-18,1.32800801155273e-07,-2.38175159215407e-17,1.32800801155273e-07,0.716271335832273,1
30,0,1,0.00015407609581726,0.406435016758127,0.843762977802813,1.00185250508796,2.07985537209577,0.000130244537940737,-0.84017099786825,-4.83409670001473e-15,-0.548486154822265,1.08555464774691e-13,-0.000436872711128811,-1.78943654139057e-13,1.41077028858119e-17,-5.67753122361585e-08,-2.32552447832535e-17,5.67753122361585e-08,1.00335655062926,1
45,0,1,0.00015407609581726,0.56165407521864,0.843762977802813,1.39813702556036,2.10039651115136,0.000181762994000756,-0.945671445051937,9.15973086102786e-10,-1.0315928985515,-9.89049642263959e-11,-0.00368624638837659,1.54592656756811e-10,-1.28535385310529e-14,-4.79058966944229e-07,2.00906262469604e-14,4.7905896694423e-07,1.39945646246266,0
60,0,1,0.00015407609581726,0.682350406571459,0.843762977802813,1.71253375698871,2.11764009879476,0.000222635734056807,-0.811624130603975,5.2949318189454e-16,-1.5088722409025,1.95219439587129e-13,-0.00723223202182407,-1.33661732850003e-13,2.53704210741126e-17,-9.39889859777343e-07,-1.73704752511938e-17,9.39889859777343e-07,1.71330942002453,0
75,0,1,0.00015407609581726,0.758606954659773,0.843762977802813,1.91397049673509,2.12881972124315,0.000248823256630555,-0.466901178101312,-4.46563397699222e-15,-1.85638227166011,4.09606937329831e-14,-0.0101853004156503,-3.53120666859681e-14,5.32318937955842e-18,-1.32366613108759e-06,-4.58910241067624e-18,1.32366613108759e-06,1.91419744244066,0
90,0,1,0.00015407609581726,0.78468107607858,0.843762977802813,1.98404092170657,2.13342761437276,0.000257932671516852,3.51606456750206e-05,3.10315559637852e-07,-1.98404092170657,1.12755354128729e-06,-0.01190110863846,9.71382535699831e-09,1.46535141103599e-10,-1.54664995476401e-06,1.26239395046234e-12,1.54664996170616e-06,1.98404092201815,0
