AoA_deg,AoS_deg,RunSuccessful,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CFx_B,CFy_B,CFz_B,CMx_B,CMy_B,CMz_B,Mx_Nm,My_Nm,Mz_Nm,MomentMagnitude_Nm,ForceCoefficientMagnitude,DragRatioToNominal
-90,0,1,0.00015407609581726,0.78468107607858,0.843762977802813,1.98483952343711,2.134286346149,0.000258036492700972,-2.11141805379223e-09,2.12901305176612e-15,1.98483952343711,-3.5052585421128e-14,0.011913171849084,2.39169871325003e-14,-4.55538062065492e-18,1.54821767124596e-06,3.10821522517921e-18,1.54821767124596e-06,1.98483952343711,6.67023205370142
-75,0,1,0.00015407609581726,0.759731918265894,0.843762977802813,1.91654299886939,2.1285245346862,0.000249157691440201,-0.468145226810765,3.38862263733896e-06,1.85871217999676,-5.41019539291702e-07,0.0102341980309595,-1.96007916323878e-07,-7.03100754216995e-11,1.33002079070827e-06,-2.54728903100697e-11,1.33002079281063e-06,1.91676052793913,6.44071542933515
-60,0,1,0.00015407609581726,0.683650916133158,0.843762977802813,1.71548451185997,2.11725353677379,0.000223019343123842,-0.814001405526609,-3.56515895692431e-06,1.51090695882445,-1.30172856322993e-06,0.00758338302203168,-5.50347397744451e-07,-1.69170661708633e-10,9.85524909005556e-07,-7.15223097010646e-11,9.85524926120371e-07,1.71622787718768,5.76504026825382
-45,0,1,0.00015407609581726,0.564712699566389,0.843762977802813,1.40565837358363,2.10025823038702,0.000182740797113497,-0.951851305711348,-1.08704455043411e-08,1.03604983027392,6.23015118981141e-08,0.00439921127430893,8.21818378292409e-08,8.09660960891934e-12,5.71714797764228e-07,1.06802264916949e-11,5.71714797921319e-07,1.40691867533096,4.72384161506163
-30,0,1,0.00015407609581726,0.409436270811652,0.843762977802813,1.00953888444942,2.08044962323972,0.000131243795738953,-0.847492547588366,-1.55516211074903e-07,0.55117761743981,3.03802802057698e-07,0.00105487399750573,6.17571905047546e-07,3.94817495019962e-11,1.37089818275542e-07,8.02587042957129e-11,1.37089847454468e-07,1.01096012986886,3.39264638123066
-20,0,1,0.00015407609581726,0.294092467608065,0.843762977802813,0.721741225678599,2.07070426092384,9.38290336889834e-05,-0.663792802699452,-1.52287622158793e-05,0.286474434804946,-2.91154014496963e-06,-0.000488215709326229,-3.91365545101354e-06,-3.78379323331142e-10,-6.34477700929722e-08,-5.08612702409153e-10,6.34509368533202e-08,0.722971982129544,2.42547641819551
-10,0,1,0.00015407609581726,0.177670529218304,0.843762977802813,0.439611700626989,2.08772990788037,5.71511500252993e-05,-0.428636210767325,-1.33930062248679e-08,0.100706136260724,-8.04142409258474e-07,-0.00166424276891683,-2.85833121715951e-06,-1.04505122899574e-10,-2.16282455816204e-07,-3.71464372103438e-10,2.16282800058138e-07,0.440307536912025,1.47735472922592
0,0,1,0.00015407609581726,0.09812405169075,0.843762977802813,0.297566787400701,2.55875938983572,3.86847849705294e-05,-0.297566787400701,-4.16658706398641e-05,-0.000225749070484485,-3.23282994154757e-06,0.00113752152590754,-2.61143681390394e-05,-4.20133656010498e-10,1.4783056520486e-07,-3.39378351445439e-09,1.47870112895136e-07,0.297566875950032,1
10,0,1,0.00015407609581726,0.177898860774193,0.843762977802813,0.43966509009262,2.0853035485335,5.71580908536615e-05,-0.428459080884173,1.10955227431853e-14,-0.102018147425543,4.76476930314024e-14,0.00135663962091854,-1.8788214027438e-13,6.19222162492287e-18,1.76306819143216e-07,-2.44168768292109e-17,1.76306819143216e-07,0.440437153741882,1.47753414933559
20,0,1,0.00015407609581726,0.291516223869778,0.843762977802813,0.714966848953071,2.06939617114558,9.29483396127877e-05,-0.657070669267772,-4.44330515903469e-15,-0.285136392140589,7.60916991207969e-14,0.00102187101674507,-1.8327019866868e-13,9.88876133966008e-18,1.32800801155273e-07,-2.38175159215407e-17,1.32800801155273e-07,0.716271335832273,2.40271051483411
30,0,1,0.00015407609581726,0.406435016758127,0.843762977802813,1.00185250508796,2.07985537209577,0.000130244537940737,-0.84017099786825,-4.83409670001473e-15,-0.548486154822265,1.08555464774691e-13,-0.000436872711128811,-1.78943654139057e-13,1.41077028858119e-17,-5.67753122361585e-08,-2.32552447832535e-17,5.67753122361585e-08,1.00335655062926,3.36681561083923
