AoA_deg,Cfx_B,Cfz_B,CMy_origin,CMy_designPlus6mm,CMy_localNeutral
-2,-0.301011722236423,0.0162851773599237,0.000326670621882646,0.000424415691551926,0.000888626530607743
-1,-0.296089045837931,0.00799157513426007,0.000635962847445759,0.000683928985670808,0.000911729746845315
-0.5,-0.294400965635856,0.00381278051969481,0.000734686912213865,0.000757571556899921,0.000866255300715867
0.5,-0.296295574882874,-0.00410634448564739,0.00114254690926149,0.00111790026778103,0.00100084844961505
1,-0.297165758095506,-0.00828174797760346,0.00123594393159285,0.00118623615039015,0.000950163979202562
2,-0.301711102684717,-0.016704975560824,0.00141220309734921,0.0013119383618828,0.000835761127204325
