AoA_deg,AreaProj_m2,CD_ADBSat,Drag_N,CMy,My_Nm
-2,0.108303359986573,0.301396698521873,3.91826876076919e-05,0.000424415691551926,5.51564169424192e-08
-1,0.102090065868833,0.296183422259428,3.85049423762219e-05,0.000683928985670808,8.88823694400319e-08
-0.5,0.0992680668042918,0.294423028113732,3.82760846142906e-05,0.000757571556899921,9.84528458486022e-08
0,0.09812405169075,0.297566787400701,3.86847849705294e-05,0.00113752152590754,1.4783056520486e-07
0.5,0.0992470348259614,0.296320127016205,3.85227145011509e-05,0.00111790026778103,1.45280616379446e-07
1,0.101977307828858,0.297265034742909,3.86455560068977e-05,0.00118623615039015,1.5416144361638e-07
2,0.1081867347824,0.302110303672423,3.92754589214667e-05,0.0013119383618828,1.70497511593322e-07
