AoA_deg,Cfx,Cfz,CMy_origin,CMy_optimised
-30,-0.847492547588366,0.55117761743981,-0.00225334263569983,0.00066629918504718
-20,-0.663792802699452,0.286474434804946,-0.0022076605130031,-0.000777790078385411
-10,-0.428636210767325,0.100706136260724,-0.00226868987362891,-0.0018426581116807
0,-0.297566787400701,-0.000225749070484485,0.00113887649172305,0.00102079747513148
10,-0.428459080884173,-0.102018147425543,0.00196896153226475,0.00119891663802848
20,-0.657070669267772,-0.285136392140589,0.00273328477043351,0.00079308319184681
30,-0.84017099786825,-0.548486154822265,0.00285518952625717,-0.000710707699067006
