AoA_deg,AreaProj_m2,CD_ADBSat,Drag_N,CFz_B,CMy,My_Nm
-2,0.114053368151639,0.316798192701929,4.11849389200268e-05,0.0172906440759943,0.00163067728723759,2.11920336933173e-07
-1,0.107400404126587,0.310825813478132,4.04085074907896e-05,0.00862695607308556,0.00181882405873427,2.36371604833033e-07
-0.5,0.10444166436741,0.309312254899083,4.02117392671505e-05,0.0043607161566547,0.00191408948531412,2.48752154594099e-07
0,0.10182788104422,0.308804547894968,4.01457354753505e-05,0.000113237376893623,0.00200940553590249,2.61139283374218e-07
0.5,0.104442287400649,0.309307976168602,4.02111830163336e-05,-0.00413452187208126,0.00210420469025158,2.73459237106248e-07
1,0.107399374150527,0.310817272445691,4.04073971249242e-05,-0.00840159862077539,0.00219792327977323,2.85638762278867e-07
2,0.114056517405484,0.316781239622421,4.11827349568725e-05,-0.0170685669141619,0.00237993917319573,3.09293270600764e-07
