Alpha,CD_ADBSat,CD_projected,Drag_N,DragChangeFromAlpha1_pct,CMy,CMyDiffFromAlpha1,My_Nm,MyDiffFromAlpha1_Nm
1,0.297566787400701,2.55875938983572,3.86847849705294e-05,0,0.00113752152590754,0,1.4783056520486e-07,0
0.9,0.311160234740614,2.67564864795848,4.04519834940818e-05,4.5682004563258,0.00121529867268878,7.77771467812389e-05,1.57938364755747e-07,1.01077995508865e-08
0.8,0.318597255797219,2.73959915677439,4.14188237886898e-05,7.06747839038842,0.00125785081298623,0.000120329287078689,1.63468376107251e-07,1.56378109023903e-08
0.4,0.337562291569743,2.90267838945828,4.3884348712446e-05,13.4408495378161,0.00136636238728417,0.000228840861376633,1.77570375053544e-07,2.97398098486838e-08
