CaseName,Summary_AoA_deg,Summary_AoS_deg,AreaProj_MediumFine_pct,CD_ADBSat_MediumFine_pct,CD_projected_MediumFine_pct,Drag_MediumFine_pct,CMy_Medium,CMy_Fine,CMy_MediumFine_abs,CMy_MediumFine_pct,My_Medium_Nm,My_Fine_Nm,My_MediumFine_abs_Nm,My_MediumFine_pct
"AoA -30.0 deg, AoS 0.0 deg",-30,0,0.0679396767734894,0.0629884268717586,0.000441388231732982,0.0674979886640217,0.0011271084433275,0.00105487399750573,7.22344458217706e-05,6.84768474647879,1.46497716415677e-07,1.37089818275542e-07,9.40789814013485e-09,6.86257977322979
"AoA +0.0 deg, AoS 0.0 deg",0,0,1.26947959933503,0.424837128095277,0.860048184329653,0.420349551249883,0.00104565327546812,0.00113752152590754,9.186825043942e-05,8.07617687640028,1.35910451142049e-07,1.4783056520486e-07,1.19201140628117e-08,8.06336230013942
"AoA +30.0 deg, AoS 0.0 deg",30,0,4.10215415841058e-05,0.00422940428637707,0.000318149856469578,0.000277128184386749,-0.000436640366925086,-0.000436872711128811,2.32344203725168e-07,0.0531835012365104,-5.67530276506341e-08,-5.67753122361585e-08,2.22845855244318e-11,0.0392504851963445
