Environment,Altitude_km,F107_Average,F107_Daily,Ap_Daily,Density_kgm3,Tinf_K,Velocity_ms,SpeedRatio,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CMx_B,CMy_B,My_Nm,CMz_B,DensityChangeFromQuiet_pct,CDChangeFromQuiet_pct,DragChangeFromQuiet_pct,CMyChangeFromQuiet_pct,MyChangeFromQuiet_pct
Quiet,300,65,65,3,5.16276998122473e-12,660.431354036869,7725.76052707991,9.53215678272682,0.00015407609581726,0.09812405169075,0.843762977802813,0.297566787400701,2.55875938983572,3.86847849705294e-05,-3.23282994154757e-06,0.00113752152590754,1.4783056520486e-07,-2.61143681390394e-05,0,0,0,0,0
Reference,300,150,150,4,1.94173120861251e-11,937.468863492888,7725.76052707991,8.23627444583703,0.000579484200995863,0.09812405169075,0.843762977802813,0.309336480291414,2.65996629018459,0.000151249241476828,-3.22245376600605e-06,0.00110888401303735,5.41997234384394e-07,-2.59719539624471e-05,276.102599122939,3.95531134153894,290.978627881871,-2.51753590749286,266.634081141005
Elevated,300,220,220,40,4.36544186457152e-11,1146.77617489346,7725.76052707991,7.51753620535393,0.00130280884381147,0.09812405169075,0.843762977802813,0.317980900251443,2.73429915150833,0.000349544278895476,-3.25538329615877e-06,0.00108864080618329,1.19628499549478e-06,-2.58690019027114e-05,745.561952294441,6.86034655583143,803.570432566094,-4.29712481135239,709.227099847041
