Altitude_km,Density_kgm3,Velocity_ms,SpeedRatio,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CMy,My_Nm
200,1.43494815767953e-10,7784.2620503208,10.901103832165,0.00434751521559836,0.09812405169075,0.843762977802813,0.28776312499695,2.47445827058279,0.00105559352466238,0.00115494637046756,4.23518394292359e-06
250,2.3689911894229e-11,7754.84579571983,10.031967713487,0.000712327617384562,0.09812405169075,0.843762977802813,0.293615981462538,2.5247866407934,0.000176473678615405,0.00114446509917602,6.87625041516652e-07
300,5.16276998122473e-12,7725.76052707991,9.53215678272682,0.00015407609581726,0.09812405169075,0.843762977802813,0.297566787400701,2.55875938983572,3.86847849705294e-05,0.00113752152590754,1.4783056520486e-07
350,1.31160006155355e-12,7697.0000836175,9.1790156828047,3.88520926096844e-05,0.09812405169075,0.843762977802813,0.300662147370281,2.58537620905896,9.85629369312016e-06,0.00113207106139503,3.70985941639173e-08
400,3.6410520890594e-13,7668.55846390557,8.73701533128336,1.07059290813712e-05,0.09812405169075,0.843762977802813,0.304943352706222,2.62219004318623,2.7546346034553e-06,0.00112446241236153,1.01540349364441e-08
