Environment,Altitude_km,F107_Average,F107_Daily,Ap_Daily,Density_kgm3,Tinf_K,Velocity_ms,SpeedRatio,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CMx_B,CMy_B,My_Nm,CMz_B
Quiet,200,65,65,3,1.43494815767953e-10,642.961242920628,7784.2620503208,10.901103832165,0.00434751521559836,0.09812405169075,0.843762977802813,0.28776312499695,2.47445827058279,0.00105559352466238,-2.84128818876087e-06,0.00115494637046756,4.23518394292359e-06,-2.62543846364397e-05
Quiet,250,65,65,3,2.3689911894229e-11,657.94162838063,7754.84579571983,10.031967713487,0.000712327617384562,0.09812405169075,0.843762977802813,0.293615981462538,2.5247866407934,0.000176473678615405,-3.06812748184128e-06,0.00114446509917602,6.87625041516652e-07,-2.61705690673562e-05
Quiet,300,65,65,3,5.16276998122473e-12,660.431354036869,7725.76052707991,9.53215678272682,0.00015407609581726,0.09812405169075,0.843762977802813,0.297566787400701,2.55875938983572,3.86847849705294e-05,-3.23282994154757e-06,0.00113752152590754,1.4783056520486e-07,-2.61143681390394e-05
Quiet,350,65,65,3,1.31160006155355e-12,660.85643113322,7697.0000836175,9.1790156828047,3.88520926096844e-05,0.09812405169075,0.843762977802813,0.300662147370281,2.58537620905896,9.85629369312016e-06,-3.3638092786473e-06,0.00113207106139503,3.70985941639173e-08,-2.60706897021215e-05
Quiet,400,65,65,3,3.6410520890594e-13,660.930940272665,7668.55846390557,8.73701533128336,1.07059290813712e-05,0.09812405169075,0.843762977802813,0.304943352706222,2.62219004318623,2.7546346034553e-06,-3.54470412088548e-06,0.00112446241236153,1.01540349364441e-08,-2.60108704789132e-05
Reference,200,150,150,4,2.47902408155641e-10,868.718894480661,7784.2620503208,9.42991201058254,0.00751079044683385,0.09812405169075,0.843762977802813,0.297671724338595,2.55966173642326,0.00188644302991196,-2.88338113472396e-06,0.00113165310621379,7.16916066725858e-06,-2.61277227692407e-05
Reference,250,150,150,4,6.19256522519521e-11,922.635512300099,7754.84579571983,8.6626965592903,0.00186203108397224,0.09812405169075,0.843762977802813,0.304714387735432,2.62022118680252,0.000478740703001987,-3.07337875850561e-06,0.00111771901055936,1.75545181308778e-06,-2.60337102025604e-05
Reference,300,150,150,4,1.94173120861251e-11,937.468863492888,7725.76052707991,8.23627444583703,0.000579484200995863,0.09812405169075,0.843762977802813,0.309336480291414,2.65996629018459,0.000151249241476828,-3.22245376600605e-06,0.00110888401303735,5.41997234384394e-07,-2.59719539624471e-05
Reference,350,150,150,4,6.90926335273533e-12,941.629322322472,7697.0000836175,7.97051961679873,0.000204665543646905,0.09812405169075,0.843762977802813,0.312521007990545,2.68734985749571,5.39690055286181e-05,-3.33248777916029e-06,0.00110286445190345,1.90386530824011e-07,-2.59294937604141e-05
Reference,400,150,150,4,2.6567308066467e-12,942.818483560919,7668.55846390557,7.7832933475361,7.81169038743454e-05,0.09812405169075,0.843762977802813,0.314919807070521,2.7079769903953,2.0757042011861e-05,-3.41775032645686e-06,0.00109833932622554,7.23687221508414e-08,-2.5897609476511e-05
Elevated,200,220,220,40,3.75510166402725e-10,1037.00725544604,7784.2620503208,8.58860580425476,0.011376969636922,0.09812405169075,0.843762977802813,0.305172791541434,2.62416297430236,0.00292949576915149,-2.94315709978961e-06,0.00111461999244678,1.06960340290516e-05,-2.60337417166856e-05
Elevated,250,220,220,40,1.15823323011018e-10,1120.60689271265,7754.84579571983,7.89002312548587,0.0034826702643035,0.09812405169075,0.843762977802813,0.3130401377481,2.69181382389898,0.000919883543610844,-3.11862124317916e-06,0.00109846687374375,3.22677490507811e-06,-2.59326408744282e-05
Elevated,300,220,220,40,4.36544186457152e-11,1146.77617489346,7725.76052707991,7.51753620535393,0.00130280884381147,0.09812405169075,0.843762977802813,0.317980900251443,2.73429915150833,0.000349544278895476,-3.25538329615877e-06,0.00108864080618329,1.19628499549478e-06,-2.58690019027114e-05
Elevated,350,220,220,40,1.82993582141487e-11,1155.1114358869,7697.0000836175,7.28290368612083,0.000542061853208342,0.09812405169075,0.843762977802813,0.321412921574193,2.76381090200445,0.000147005181868683,-3.36049764152214e-06,0.0010819133990598,4.94664442263537e-07,-2.58247590495912e-05
Elevated,400,220,220,40,8.20057566930187e-12,1157.81177208855,7668.55846390557,7.1218052381295,0.000241124761180345,0.09812405169075,0.843762977802813,0.32392724137018,2.78543139078019,6.59036925716139e-05,-3.44109067378405e-06,0.00107700736821387,2.19043229215703e-07,-2.57923846990137e-05
