Environment,F107_Average,F107_Daily,Ap_Daily,Density_kgm3,DensityChangeFromQuiet_pct,CD_ADBSat,CDChangeFromQuiet_pct,Drag_N,DragChangeFromQuiet_pct,CMy_B,CMyChangeFromQuiet_pct,My_Nm,MyChangeFromQuiet_pct
Quiet,65,65,3,5.16276998122473e-12,0,0.297566787400701,0,3.86847849705294e-05,0,0.00113752152590754,0,1.4783056520486e-07,0
Reference,150,150,4,1.94173120861251e-11,276.102599122939,0.309336480291414,3.95531134153894,0.000151249241476828,290.978627881871,0.00110888401303735,-2.51753590749286,5.41997234384394e-07,266.634081141005
Elevated,220,220,40,4.36544186457152e-11,745.561952294441,0.317980900251443,6.86034655583143,0.000349544278895476,803.570432566094,0.00108864080618329,-4.29712481135239,1.19628499549478e-06,709.227099847041
