Mesh,Model,PanelCount,AoA_deg,AoS_deg,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,LenRef_case_m,CD_ADBSat,CD_projected,Drag_N,CMy,My_Nm,AreaProj_ErrorFine_pct,CD_ADBSat_ErrorFine_pct,CD_projected_ErrorFine_pct,Drag_ErrorFine_pct,CMy_DiffFine,CMy_AbsDiffFine,CMy_ErrorFine_pct,My_DiffFine_Nm,My_AbsDiffFine_Nm,My_ErrorFine_pct
Coarse,disc_lenticular_v03_coarse,2200,-30,0,0.00015407609581726,0.408377194653157,0.84386680738777,0.9997464,1.00693183639509,2.08071450894194,0.000130920978381917,0.000747858140467161,9.72116342395834e-08,0.258666912043631,0.258241469891994,0.0127321372871745,0.245967708582822,-0.000307015857038565,0.000307015857038565,29.1045051602856,-3.98781840359591e-08,3.98781840359591e-08,29.0890924924901
Medium,disc_lenticular_v03_medium,4400,-30,0,0.00015407609581726,0.409714440490634,0.84380100386366,0.9997464,1.0101747771114,2.08044044037991,0.000131332382661323,0.0011271084433275,1.46497716415677e-07,0.0679396767734894,0.0629884268717586,0.000441388231732982,0.0674979886640217,7.22344458217706e-05,7.22344458217706e-05,6.84768474647879,9.40789814013485e-09,9.40789814013485e-09,6.86257977322979
Fine,disc_lenticular_v03,8800,-30,0,0.00015407609581726,0.409436270811652,0.843762977802813,0.9996521,1.00953888444942,2.08044962323972,0.000131243795738953,0.00105487399750573,1.37089818275542e-07,0,0,0,0,0,0,0,0,0,0
Coarse,disc_lenticular_v03_coarse,2200,0,0,0.00015407609581726,0.096838011546885,0.84386680738777,0.9997464,0.296151142699361,2.58072336783736,3.8505483638229e-05,0.00104227062173699,1.35481349973228e-07,1.31062682564123,0.475740156926132,0.858383874970163,0.463493160003399,-9.5250904170548e-05,9.5250904170548e-05,8.37354740118478,-1.2349215231632e-08,1.2349215231632e-08,8.35362782691028
Medium,disc_lenticular_v03_medium,4400,0,0,0.00015407609581726,0.096878386872495,0.84380100386366,0.9997464,0.296302613206943,2.58076595350937,3.85221736505038e-05,0.00104565327546812,1.35910451142049e-07,1.26947959933503,0.424837128095277,0.860048184329653,0.420349551249883,-9.186825043942e-05,9.186825043942e-05,8.07617687640028,-1.19201140628117e-08,1.19201140628117e-08,8.06336230013942
Fine,disc_lenticular_v03,8800,0,0,0.00015407609581726,0.09812405169075,0.843762977802813,0.9996521,0.297566787400701,2.55875938983572,3.86847849705294e-05,0.00113752152590754,1.4783056520486e-07,0,0,0,0,0,0,0,0,0,0
Coarse,disc_lenticular_v03_coarse,2200,30,0,0.00015407609581726,0.406379347234982,0.84386680738777,0.9997464,1.00175347707267,2.08019062543084,0.000130247689640416,-0.000437785899286673,-5.6906357521386e-08,0.0136970292542003,0.00988449045952603,0.0161190696032637,0.00241983251538997,-9.1318815786251e-07,9.1318815786251e-07,0.209028427411494,-1.3104528522752e-10,1.3104528522752e-10,0.230813852123671
Medium,disc_lenticular_v03_medium,4400,30,0,0.00015407609581726,0.406434850032218,0.84380100386366,0.9997464,1.00181013269517,2.07986198915265,0.00013024489888506,-0.000436640366925086,-5.67530276506341e-08,4.10215415841058e-05,0.00422940428637707,0.000318149856469578,0.000277128184386749,2.32344203725168e-07,2.32344203725168e-07,0.0531835012365104,2.22845855244318e-11,2.22845855244318e-11,0.0392504851963445
Fine,disc_lenticular_v03,8800,30,0,0.00015407609581726,0.406435016758127,0.843762977802813,0.9996521,1.00185250508796,2.07985537209577,0.000130244537940737,-0.000436872711128811,-5.67753122361585e-08,0,0,0,0,0,0,0,0,0,0
